scenario,subsystem,year,month,demand_mw
referencia,SUL,2025,7,13526.81170765162
referencia,SUL,2025,8,13855.76801432503
referencia,SUL,2025,9,14155.439908571832
referencia,SUL,2025,10,13975.410017042128
referencia,SUL,2025,11,14709.075336190033
referencia,SUL,2025,12,14732.257078993374
referencia,SUL,2026,1,15161.388097240093
referencia,SUL,2026,2,16848.305279753957
referencia,SUL,2026,3,15785.310700475817
referencia,SUL,2026,4,15409.81453943784
referencia,SUL,2026,5,13945.604176302357
referencia,SUL,2026,6,14209.065649931785
referencia,SUL,2026,7,14013.77692912708
referencia,SUL,2026,8,14354.575662840733
referencia,SUL,2026,9,14665.03574528042
referencia,SUL,2026,10,14478.524777655644
referencia,SUL,2026,11,15238.602048292876
referencia,SUL,2026,12,15262.618333837136
referencia,SUL,2027,1,15707.198068740736
referencia,SUL,2027,2,17454.844269825102
referencia,SUL,2027,3,16353.581885692945
referencia,SUL,2027,4,15964.567862857604
referencia,SUL,2027,5,14447.645926649242
referencia,SUL,2027,6,14720.592013329333
referencia,SUL,2027,7,14518.272898575655
referencia,SUL,2027,8,14871.340386703
referencia,SUL,2027,9,15192.977032110513
referencia,SUL,2027,10,14999.751669651247
referencia,SUL,2027,11,15787.191722031419
referencia,SUL,2027,12,15812.072593855271
referencia,SUL,2028,1,16272.657199215402
referencia,SUL,2028,2,18083.218663538806
referencia,SUL,2028,3,16942.310833577892
referencia,SUL,2028,4,16539.292305920477
referencia,SUL,2028,5,14967.761180008614
referencia,SUL,2028,6,15250.533325809187
referencia,SUL,2028,7,15040.930722924377
referencia,SUL,2028,8,15406.708640624307
referencia,SUL,2028,9,15739.924205266494
referencia,SUL,2028,10,15539.742729758691
referencia,SUL,2028,11,16355.530624024552
referencia,SUL,2028,12,16381.307207234064
superior,NORTE,2025,1,7777.188166664908
superior,NORTE,2025,2,8060.602991775668
superior,NORTE,2025,3,7837.9061010191945
superior,NORTE,2025,4,7967.095069256771
superior,NORTE,2025,5,8074.899482179388
superior,NORTE,2025,6,8415.390658076269
superior,NORTE,2025,7,8435.25168234133
superior,NORTE,2025,8,8807.016005252768
superior,NORTE,2025,9,9187.641813821914
superior,NORTE,2025,10,9055.378529615778
superior,NORTE,2025,11,9098.207054723203
superior,NORTE,2025,12,8790.454804285122
superior,NORTE,2026,1,8096.052881498169
superior,NORTE,2026,2,8391.08771443847
superior,NORTE,2026,3,8159.260251160982
superior,NORTE,2026,4,8293.7459670963
superior,NORTE,2026,5,8405.97036094874
superior,NORTE,2026,6,8760.421675057394
superior,NORTE,2026,7,8781.097001317323
superior,NORTE,2026,8,9168.10366146813
superior,NORTE,2026,9,9564.335128188613
superior,NORTE,2026,10,9426.649049330026
superior,NORTE,2026,11,9471.233543966855
superior,NORTE,2026,12,9150.863451260811
superior,NORTE,2027,1,8427.991049639593
superior,NORTE,2027,2,8735.122310730445
superior,NORTE,2027,3,8493.789921458581
superior,NORTE,2027,4,8633.789551747246
superior,NORTE,2027,5,8750.615145747637
superior,NORTE,2027,6,9119.598963734748
superior,NORTE,2027,7,9141.121978371331
superior,NORTE,2027,8,9543.995911588323
superior,NORTE,2027,9,9956.472868444345
superior,NORTE,2027,10,9813.141660352556
superior,NORTE,2027,11,9859.554119269495
superior,NORTE,2027,12,9526.048852762502
superior,NORTE,2028,1,8773.538682674816
superior,NORTE,2028,2,9093.262325470392
superior,NORTE,2028,3,8842.035308238383
superior,NORTE,2028,4,8987.774923368883
superior,NORTE,2028,5,9109.390366723292
superior,NORTE,2028,6,9493.50252124787
superior,NORTE,2028,7,9515.907979484557
superior,NORTE,2028,8,9935.299743963444
superior,NORTE,2028,9,10364.688256050564
superior,NORTE,2028,10,10215.480468427011
superior,NORTE,2028,11,10263.795838159544
superior,NORTE,2028,12,9916.616855725764
superior,NORDESTE,2025,1,13569.54689320045
superior,NORDESTE,2025,2,14339.688184808456
superior,NORDESTE,2025,3,13690.765549510084
